Date,Ticker,Open,High,Low,Close,Volume
2022-01-03,AAPL,174.01337226981713,178.95499096160628,173.895952516217,178.10365295410156,104487900
2022-01-03,AMZN,167.5500030517578,170.70350646972656,166.16050720214844,170.4044952392578,63520000
2022-01-03,GOOGL,143.86593461715796,144.65541477911893,142.53494010406916,143.80296325683594,28646000
2022-01-03,META,335.66583985117506,338.42419237470216,334.5644973188107,335.90399169921875,14537900
2022-01-03,MSFT,323.7400307283668,326.29828058631676,318.3628596847403,323.1607971191406,28865100
2022-01-03,NVDA,29.755748425658155,30.649967690712824,29.725807360139775,30.061140060424805,391547000
2022-01-03,TSLA,382.5833435058594,400.3566589355469,378.67999267578125,399.9266662597656,103931400
2022-01-04,AAPL,178.71035458130368,179.01369889567948,175.2756775127618,175.84323120117188,99310400
2022-01-04,AMZN,170.43800354003906,171.39999389648438,166.34950256347656,167.52200317382812,70726000
2022-01-04,GOOGL,144.2041883571594,145.28426632803112,142.53846595639808,143.2158660888672,28400000
2022-01-04,META,337.30299041650676,340.41852505150547,329.28588840398794,333.90960693359375,15998000
2022-01-04,MSFT,323.2379929252775,323.5952080741863,314.82954604404773,317.6195068359375,32674300
2022-01-04,NVDA,30.216826539242714,30.40744692192532,28.292658836690123,29.231788635253906,527154000
2022-01-04,TSLA,396.51666259765625,402.6666564941406,374.3500061035156,383.1966552734375,100248300
2022-01-05,AAPL,175.7551459173302,176.30312460609773,170.89181265756935,171.16580200195312,94537600
2022-01-05,AMZN,166.88299560546875,167.12649536132812,164.35699462890625,164.35699462890625,64302000
2022-01-05,GOOGL,143.23616397542605,143.3150106060316,136.55935260045507,136.6456298828125,54618000
2022-01-05,META,330.426939558543,333.1456252268606,321.3184266010709,321.6458740234375,20564500
2022-01-05,MSFT,314.5785362245669,314.7812871228152,305.04061192128523,305.4267578125,40054300
2022-01-05,NVDA,28.891469242287545,29.35754213554747,27.47828478816745,27.549142837524414,498064000
2022-01-05,TSLA,382.2166748046875,390.11334228515625,360.336669921875,362.7066650390625,80119800
2022-01-06,AAPL,168.99349099432447,171.53769548653034,167.95624321761545,168.3085174560547,96904000
2022-01-06,AMZN,163.45050048828125,164.8000030517578,161.93699645996094,163.25399780273438,51958000
2022-01-06,GOOGL,135.8754787528965,138.79286404298605,135.43908316933738,136.6183319091797,37348000
2022-01-06,META,320.3064141577774,336.529113208816,320.2071867379019,329.871337890625,27962800
2022-01-06,MSFT,302.30859850808565,307.6664726573991,300.7060649286775,303.0133361816406,39646100
2022-01-06,NVDA,27.58506883228335,28.381483256103156,27.01121270492406,28.121999740600586,454186000
2022-01-06,TSLA,359.0,362.6666564941406,340.1666564941406,354.8999938964844,90336600
2022-01-07,AAPL,169.1793866130696,170.40255876885018,167.3593058480161,168.47483825683594,86709100
2022-01-07,AMZN,163.83900451660156,165.24349975585938,162.031005859375,162.5540008544922,46606000
2022-01-07,GOOGL,137.01307300645394,137.31359818480337,134.65357655381717,135.89382934570312,29760000
2022-01-07,META,330.1491888852964,334.37602909098933,326.31925839804165,329.20660400390625,14722000
2022-01-07,MSFT,303.27396324795524,305.5426109592931,299.35452484498177,303.16778564453125,32720000
2022-01-07,NVDA,28.085076387090762,28.365518095345266,27.003229072578133,27.192852020263672,409939000
2022-01-07,TSLA,360.1233215332031,360.30999755859375,336.6666564941406,342.32000732421875,84164700
2022-01-10,AAPL,165.4511773077938,168.79777487885306,164.56070430318124,168.4944305419922,106765600
2022-01-10,AMZN,160.5854949951172,161.6614990234375,156.30450439453125,161.48599243164062,87798000
2022-01-10,GOOGL,133.97073966369757,137.68157063585514,132.0729270904359,137.5327911376953,44408000
2022-01-10,META,322.77701413394965,325.78342022706335,312.9739386071096,325.5155334472656,24942400
2022-01-10,MSFT,298.77531830555176,303.824264140596,294.14150808241357,303.38983154296875,44289500
2022-01-10,NVDA,26.528172253329963,27.414407928007527,25.59303417452998,27.345544815063477,594681000
2022-01-10,TSLA,333.3333435058594,353.0333251953125,326.6666564941406,352.7066650390625,91815000
2022-01-11,AAPL,168.62162893365016,171.4202325096092,167.15382233749222,171.3223876953125,76138300
2022-01-11,AMZN,161.5,166.35000610351562,160.70150756835938,165.36199951171875,62806000
2022-01-11,GOOGL,136.87572990846158,139.06662188460535,135.57200624477076,138.59054565429688,28730000
2022-01-11,META,324.23555155700546,332.02443419427567,322.74723119115595,331.7664489746094,16226800
2022-01-11,MSFT,302.53064320042563,305.6488002414314,299.1614780529444,304.07525634765625,29386800
